video_clip_id,target_clip_ids,video_clip_narration,target_clip_narration,instruction,modified_captions
898b2af7-1074-4716-a104-b1f48d25cb2f_0_6,['898b2af7-1074-4716-a104-b1f48d25cb2f_129_138'],#C C pours the fungicide in a cup.,#C C removes the cup from the drum,Remove the cup.," #C C removes the lid from the jerrycan."
898b2af7-1074-4716-a104-b1f48d25cb2f_129_138,['898b2af7-1074-4716-a104-b1f48d25cb2f_0_6'],#C C removes the cup from the drum,#C C pours the fungicide in a cup.,Pour it into the cup.," #C C pours liquid into the cup."
a850112c-68e3-45d7-9fc0-9ada21e970a4_59_68,['a850112c-68e3-45d7-9fc0-9ada21e970a4_81_90'],#C C tightens a bolt with the spanner,#C C drops the spanner on a pile of wood,Drop the tool.," #C C drops the wrench."
a850112c-68e3-45d7-9fc0-9ada21e970a4_81_90,['a850112c-68e3-45d7-9fc0-9ada21e970a4_431_440'],#C C drops the spanner on a pile of wood,#C C takes a wood from a pile of wood,Take a piece instead.," #C C takes a piece of the metal structure with his right hand."
a850112c-68e3-45d7-9fc0-9ada21e970a4_81_90,['a850112c-68e3-45d7-9fc0-9ada21e970a4_59_68'],#C C drops the spanner on a pile of wood,#C C tightens a bolt with the spanner,Tighten a bolt with it.," #C C tightens a bolt with a cable."
a850112c-68e3-45d7-9fc0-9ada21e970a4_431_440,['a850112c-68e3-45d7-9fc0-9ada21e970a4_81_90'],#C C takes a wood from a pile of wood,#C C drops the spanner on a pile of wood,Place the object on the pile.," #C C places the wood on the pile with his right hand."
5a56333c-604c-4589-80ec-541b4d7d2164_23_32,['5a56333c-604c-4589-80ec-541b4d7d2164_0_5'],#C C raises the brush broom.,#C C grabs the handle of a brush broom,Grab the handle.," #C C grabs the bucket handle."
5a56333c-604c-4589-80ec-541b4d7d2164_23_32,['5a56333c-604c-4589-80ec-541b4d7d2164_243_252'],#C C raises the brush broom.,#C C scrubs the floor with her nails.,Scrub with nails instead.," #C C scrubs with nails in the room."
5a56333c-604c-4589-80ec-541b4d7d2164_0_5,['5a56333c-604c-4589-80ec-541b4d7d2164_23_32'],#C C grabs the handle of a brush broom,#C C raises the brush broom.,Raise it.," #C C raises the floor brush with both hands."
5a56333c-604c-4589-80ec-541b4d7d2164_243_252,['5a56333c-604c-4589-80ec-541b4d7d2164_23_32'],#C C scrubs the floor with her nails.,#C C raises the brush broom.,Use the brush instead.," #C C cleans the floor with a brush in her right hand"
570fc280-231c-4a3e-99c2-12eefed1c122_3193_3202,['570fc280-231c-4a3e-99c2-12eefed1c122_3017_3026'],#C C  puts the tape measure in the pocket,#C C moves hands,Stop the action.," #C C stops measuring the wood frame."
570fc280-231c-4a3e-99c2-12eefed1c122_3017_3026,['570fc280-231c-4a3e-99c2-12eefed1c122_3193_3202'],#C C moves hands,#C C  puts the tape measure in the pocket,Put it in the pocket.," #C C puts the driller in his pocket."
570fc280-231c-4a3e-99c2-12eefed1c122_3217_3226,['570fc280-231c-4a3e-99c2-12eefed1c122_3038_3047'],#C C drops the timber,#C C holds the timber,Hold it.," #C C holds a wood"
570fc280-231c-4a3e-99c2-12eefed1c122_3038_3047,['570fc280-231c-4a3e-99c2-12eefed1c122_3217_3226'],#C C holds the timber,#C C drops the timber,Drop it.," #C C drops an object."
99a9f3f2-1836-428e-a914-390dd5645439_1086_1095,['99a9f3f2-1836-428e-a914-390dd5645439_971_980'],#C C stretches the piece of garment,#C C folds the piece of garment,Fold it.," #C C folds the face mask."
99a9f3f2-1836-428e-a914-390dd5645439_971_980,['99a9f3f2-1836-428e-a914-390dd5645439_1086_1095'],#C C folds the piece of garment,#C C stretches the piece of garment,Stretch it out.," #C C stretches out the face mask."
763509f4-203d-4e4b-bb42-67eb9839874b_245_254,['763509f4-203d-4e4b-bb42-67eb9839874b_167_176'],#C C wipes the lawnmower with the piece of cloth in his left hand.,#C C works on the lawnmower with his left hand.,Work on it instead.," #C C works with the screwdriver."
763509f4-203d-4e4b-bb42-67eb9839874b_167_176,['763509f4-203d-4e4b-bb42-67eb9839874b_245_254'],#C C works on the lawnmower with his left hand.,#C C wipes the lawnmower with the piece of cloth in his left hand.,Wipe it with a cloth.," #C C wipes the lawn mower with a cloth."
763509f4-203d-4e4b-bb42-67eb9839874b_193_202,['763509f4-203d-4e4b-bb42-67eb9839874b_167_176'],#C C picks up the screwdriver from the steel with his left hand.,#C C works on the lawnmower with his left hand.,Work on it instead.," #C C works on the mower tire with his left hand"
97e4effd-1b19-4e02-982d-692f8cb21b9f_404_413,['97e4effd-1b19-4e02-982d-692f8cb21b9f_296_305'],"#C C removes the bolt remover, torque wrench and spanner from the lawn tractor",#C C removes a tape from the tie rod,Remove only the tape.," #C C removes the tape with his left hand."
97e4effd-1b19-4e02-982d-692f8cb21b9f_296_305,['97e4effd-1b19-4e02-982d-692f8cb21b9f_404_413'],#C C removes a tape from the tie rod,"#C C removes the bolt remover, torque wrench and spanner from the lawn tractor",Remove different tools.," #C C removes tools from the lawn mower."
f3e79f6b-3b27-4aa6-a270-55a6424fd974_471_480,['f3e79f6b-3b27-4aa6-a270-55a6424fd974_332_341'],#C C Hold the lamination papers,#C C Removes the side paper on the laminated photo print,Remove the side paper.," #C C removes the side paper from the picture."
f3e79f6b-3b27-4aa6-a270-55a6424fd974_332_341,['f3e79f6b-3b27-4aa6-a270-55a6424fd974_471_480'],#C C Removes the side paper on the laminated photo print,#C C Hold the lamination papers,Just hold them.," #C C holds the masking tape."
f3e79f6b-3b27-4aa6-a270-55a6424fd974_417_426,['f3e79f6b-3b27-4aa6-a270-55a6424fd974_332_341'],#C C Cuts the laminated photo print with a knife pen,#C C Removes the side paper on the laminated photo print,Remove the excess paper.," #C C removes excess paper."
f3e79f6b-3b27-4aa6-a270-55a6424fd974_378_387,['f3e79f6b-3b27-4aa6-a270-55a6424fd974_471_480'],#C C Separates the lamination paper,#C C Hold the lamination papers,Hold them together.," #C C holds the masks together with both hands"
460e3501-ff8e-4dcf-b47b-c298b9c46006_0_4,['460e3501-ff8e-4dcf-b47b-c298b9c46006_9_18'],#C C holds a tissue in his left hand.,#C C picks up the tissue and a rag from the parking lift with his left hand.,Add the rag to the action.," #C C holds the tire with a rag in his left hand."
460e3501-ff8e-4dcf-b47b-c298b9c46006_9_18,['460e3501-ff8e-4dcf-b47b-c298b9c46006_0_4'],#C C picks up the tissue and a rag from the parking lift with his left hand.,#C C holds a tissue in his left hand.,Hold only the tissue.," #C C holds a tissue with his right hand."
ab22264a-91ce-4c3f-96b0-e6405a46f92f_1164_1173,['ab22264a-91ce-4c3f-96b0-e6405a46f92f_1186_1195'],#C C cuts the tissue,#C C throws the tissue in the dust bin,Dispose of it.," #C C disposes of the cloth."
ab22264a-91ce-4c3f-96b0-e6405a46f92f_1164_1173,['ab22264a-91ce-4c3f-96b0-e6405a46f92f_896_905'],#C C cuts the tissue,#C C wipes the counter with the tissue,Wipe the counter.," #C C wipes the counter."
ab22264a-91ce-4c3f-96b0-e6405a46f92f_1186_1195,['ab22264a-91ce-4c3f-96b0-e6405a46f92f_1164_1173'],#C C throws the tissue in the dust bin,#C C cuts the tissue,Cut it instead.," #C C cuts around the"
ab22264a-91ce-4c3f-96b0-e6405a46f92f_896_905,['ab22264a-91ce-4c3f-96b0-e6405a46f92f_1164_1173'],#C C wipes the counter with the tissue,#C C cuts the tissue,Cut the object instead.," #C C cuts the sink cloth."
eb771384-0c77-437f-a635-4c75c2032afb_39_48,['eb771384-0c77-437f-a635-4c75c2032afb_181_190'],#C C holds a nylon with his right hand,#C C removes the foam around the air filter with his right hand,Remove the foam instead.," #C C removes the foam from the jack lift."
eb771384-0c77-437f-a635-4c75c2032afb_107_116,['eb771384-0c77-437f-a635-4c75c2032afb_143_152'],#C C passes the spark plug spanner to his left hand,#C C takes the torque wrench with his right hand,Take a different tool with the other hand.," #C C takes a different tool from the lawn mower with his left hand."
eb771384-0c77-437f-a635-4c75c2032afb_143_152,['eb771384-0c77-437f-a635-4c75c2032afb_107_116'],#C C takes the torque wrench with his right hand,#C C passes the spark plug spanner to his left hand,Pass a different tool to the other hand.," #C C passes a wrench to his left hand."
550be319-373f-4e4a-8049-ca6deed20b00_0_7,['550be319-373f-4e4a-8049-ca6deed20b00_39_48'],#C c touches a bolt nut.,#C c drops the bolt nut in a box container.,Drop it into the container.," #C C drops an object into the container with his right hand."
dee85b6f-9a43-467f-ae31-cbf468cd8965_361_370,['dee85b6f-9a43-467f-ae31-cbf468cd8965_564_573'],#C C drops the paint brush on the edge of the container,#C C dips the paint brush in the container,Dip it in.," #C C dips the manila paper in glue."
dee85b6f-9a43-467f-ae31-cbf468cd8965_361_370,['dee85b6f-9a43-467f-ae31-cbf468cd8965_422_431'],#C C drops the paint brush on the edge of the container,#C C drops the the paint brush on the desk,Drop it on the desk instead.," #C C drops the piece of cardboard on the desk."
dee85b6f-9a43-467f-ae31-cbf468cd8965_564_573,['dee85b6f-9a43-467f-ae31-cbf468cd8965_361_370'],#C C dips the paint brush in the container,#C C drops the paint brush on the edge of the container,Drop it on the edge.," #C C drops glue on the edge of the paper."
dee85b6f-9a43-467f-ae31-cbf468cd8965_422_431,['dee85b6f-9a43-467f-ae31-cbf468cd8965_564_573'],#C C drops the the paint brush on the desk,#C C dips the paint brush in the container,Dip it in the container.," #C C dips the manila paper in the container."
dee85b6f-9a43-467f-ae31-cbf468cd8965_306_315,['dee85b6f-9a43-467f-ae31-cbf468cd8965_296_305'],#C C smoothens the edge of the brown paper,#C C glues the smaller piece of brown paper on the edge of the bigger brown paper.,Glue the smaller piece on the edge.," #C C glues the smaller piece of paper on the edge."
d8c894ab-7b08-4983-9e80-fdb5d6ee0202_3959_3968,['d8c894ab-7b08-4983-9e80-fdb5d6ee0202_4432_4441'],#C C picks up a container in a cabinet with her left hand,#C C drops the steel bowl on the sink slab.,Drop it instead.," #C C drops the container."
d8c894ab-7b08-4983-9e80-fdb5d6ee0202_4432_4441,['d8c894ab-7b08-4983-9e80-fdb5d6ee0202_3959_3968'],#C C drops the steel bowl on the sink slab.,#C C picks up a container in a cabinet with her left hand,Retrieve a container instead.," #C C retrieves a container with his right hand."
0c3db5fa-23e0-4311-ad4e-72a70ad29700_302_311,['0c3db5fa-23e0-4311-ad4e-72a70ad29700_347_356'],#C C puts back heat gun,#C C picks a wrench,Pick up the wrench.," #C C picks up the wrench."
0c3db5fa-23e0-4311-ad4e-72a70ad29700_347_356,['0c3db5fa-23e0-4311-ad4e-72a70ad29700_302_311'],#C C picks a wrench,#C C puts back heat gun,Put the tool back.," #C C puts the tool back."
4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1289_1298,['4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1479_1488'],#C C picks a shovel from the ground,#C C picks a knife from the ground,Pick up a knife instead.," #C C picks up a knife from the grass."
4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1369_1378,['4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1240_1249'],#C C touches a tree,#C C pulls a root from the ground,Pull it from the ground.," #C C pulls the plant from the ground."
4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1479_1488,['4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1289_1298'],#C C picks a knife from the ground,#C C picks a shovel from the ground,Pick up a shovel instead.," #C C walks with a shovel in hands"
4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1240_1249,['4d24d57d-96ba-4ea1-9542-ee0520d20d3e_1369_1378'],#C C pulls a root from the ground,#C C touches a tree,Touch it instead.," #C C touches the chair."
b0429a48-6f89-4544-8128-a24fd63d3149_2425_2434,['b0429a48-6f89-4544-8128-a24fd63d3149_2596_2605'],#C C operates the consul,#C C picks a cup of water on a table,Pick up the cup.," #C C picks up a cup with his right hand"
b0429a48-6f89-4544-8128-a24fd63d3149_2425_2434,['b0429a48-6f89-4544-8128-a24fd63d3149_2024_2033'],#C C operates the consul,#C C picks the phone,Pick up the phone.," #C C picks up the phone with his right hand."
b0429a48-6f89-4544-8128-a24fd63d3149_2596_2605,['b0429a48-6f89-4544-8128-a24fd63d3149_2425_2434'],#C C picks a cup of water on a table,#C C operates the consul,Operate the console instead.," #C C operates the console."
2c5d38ed-012f-4732-9eb8-89beddb07641_724_733,['2c5d38ed-012f-4732-9eb8-89beddb07641_646_655'],#C C holds the brush with his right hand.,#C C drops the jack hammer on the ground with both hands.,Drop it with both hands.," #C C drops the paint bucket with both hands."
2c5d38ed-012f-4732-9eb8-89beddb07641_646_655,['2c5d38ed-012f-4732-9eb8-89beddb07641_633_642'],#C C drops the jack hammer on the ground with both hands.,#C C holds his shirt with his left hand.,Hold the shirt instead.," #C C holds the shirt"
2c5d38ed-012f-4732-9eb8-89beddb07641_633_642,['2c5d38ed-012f-4732-9eb8-89beddb07641_646_655'],#C C holds his shirt with his left hand.,#C C drops the jack hammer on the ground with both hands.,Drop it with both hands.," #C C drops the ground cutting machine with both hands."
f5b87541-3879-444f-be65-2b17f1d95735_1176_1185,['f5b87541-3879-444f-be65-2b17f1d95735_1068_1077'],#C C slices the pepper,#C C operates laptop,Operate the laptop instead.," #C C operates the laptop."
f5b87541-3879-444f-be65-2b17f1d95735_1176_1185,['f5b87541-3879-444f-be65-2b17f1d95735_1116_1125'],#C C slices the pepper,#C C cuts cucumber into two halves,Cut the cucumber instead.," #C C cuts the cucumber."
f5b87541-3879-444f-be65-2b17f1d95735_1068_1077,['f5b87541-3879-444f-be65-2b17f1d95735_1176_1185'],#C C operates laptop,#C C slices the pepper,Slice it instead.," #C C slices the laptop."
f5b87541-3879-444f-be65-2b17f1d95735_1116_1125,['f5b87541-3879-444f-be65-2b17f1d95735_1176_1185'],#C C cuts cucumber into two halves,#C C slices the pepper,Slice it instead.," #C C slices the green pepper."
ab6ef383-ac01-400e-b96f-6032d66b887f_4_13,['ab6ef383-ac01-400e-b96f-6032d66b887f_0_8'],#C C puts the mat on the floor,#C C takes the mat,Remove it from the floor.," #C C removes the exercise equipment from the floor."
ab6ef383-ac01-400e-b96f-6032d66b887f_232_241,['ab6ef383-ac01-400e-b96f-6032d66b887f_0_8'],#C C sits on the mat,#C C takes the mat,Take the mat.," #C C picks up the mat."
ab6ef383-ac01-400e-b96f-6032d66b887f_0_8,['ab6ef383-ac01-400e-b96f-6032d66b887f_232_241'],#C C takes the mat,#C C sits on the mat,Sit on it.," #C C sits on the mat"
ab6ef383-ac01-400e-b96f-6032d66b887f_0_8,['ab6ef383-ac01-400e-b96f-6032d66b887f_4_13'],#C C takes the mat,#C C puts the mat on the floor,Place it on the floor.," #C C places the yoga mat on the floor."
ab93e55b-11cb-4332-b247-b3fb2fc67f53_1001_1010,['ab93e55b-11cb-4332-b247-b3fb2fc67f53_1088_1097'],#C C sorts jigsaw pieces on the table,#C C holds playing toys,Hold the toys instead.," #C C holds the toys."
ab93e55b-11cb-4332-b247-b3fb2fc67f53_1088_1097,['ab93e55b-11cb-4332-b247-b3fb2fc67f53_1001_1010'],#C C holds playing toys,#C C sorts jigsaw pieces on the table,Sort them on the table.," #C C sorts jigsaw pieces on the table."
ab93e55b-11cb-4332-b247-b3fb2fc67f53_1088_1097,['ab93e55b-11cb-4332-b247-b3fb2fc67f53_1088_1097'],#C C holds playing toys,#C C holds playing toys,No change required.," #C C sorts jigsaw puzzle tabs"
ab93e55b-11cb-4332-b247-b3fb2fc67f53_1170_1179,['ab93e55b-11cb-4332-b247-b3fb2fc67f53_1088_1097'],#C C turns to the side,#C C holds playing toys,Hold the toys.," #C C holds the toys."
106e9447-8a09-4e89-964e-61c927827a56_0_5,['106e9447-8a09-4e89-964e-61c927827a56_193_202'],#C C  Stands in the kitchen,#C C Opens the container,Open the container.," #C C opens the phone container."
106e9447-8a09-4e89-964e-61c927827a56_193_202,['106e9447-8a09-4e89-964e-61c927827a56_0_5'],#C C Opens the container,#C C  Stands in the kitchen,No action required.," #C C picks up the bottle"
106e9447-8a09-4e89-964e-61c927827a56_193_202,['106e9447-8a09-4e89-964e-61c927827a56_237_246'],#C C Opens the container,#C C Turns towards the drawer,Turn towards the drawer.," #C C turns towards the drawer with ginger in hand."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2100_2109,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2188_2197'],#C C stands up,#C C stretches his body,Stretch the body.," #C C stretches."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2100_2109,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2245_2254'],#C C stands up,#C C does a plank,Do a plank.," #C C does a plank."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2188_2197,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2100_2109'],#C C stretches his body,#C C stands up,Stand up instead.," #C C stands up."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2227_2236,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2218_2227'],#C C moves around,#C C pulls down his cloth,Pull down the cloth.," #C C pulls down the cloth."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2245_2254,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2100_2109'],#C C does a plank,#C C stands up,Stand up instead.," #C C stands up."
176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2218_2227,['176e0cc4-f5f3-48a4-9032-7c9c04e003f9_2227_2236'],#C C pulls down his cloth,#C C moves around,Move around instead.," #C C moves around."
de3e73c8-af20-4115-a42e-450fccb81eaf_392_401,['de3e73c8-af20-4115-a42e-450fccb81eaf_296_305'],#C C picks the tape from the motorcycle with his right hand.,#C C picks the wires of the digital multimeter with his right hand.,Change it to wires.," #C C removes wires."
de3e73c8-af20-4115-a42e-450fccb81eaf_296_305,['de3e73c8-af20-4115-a42e-450fccb81eaf_392_401'],#C C picks the wires of the digital multimeter with his right hand.,#C C picks the tape from the motorcycle with his right hand.,Pick the tape instead.," #C C picks up the tape."
de3e73c8-af20-4115-a42e-450fccb81eaf_486_495,['de3e73c8-af20-4115-a42e-450fccb81eaf_392_401'],#C C drops the plier on the motorcycle with his right hand.,#C C picks the tape from the motorcycle with his right hand.,Pick up the tape instead.," #C C picks up the tape with his right hand."
3ba731dd-156e-419b-80de-c19d4f88aa7d_568_577,['3ba731dd-156e-419b-80de-c19d4f88aa7d_417_426'],#C C adjusts the knob of the cooker with his left hand,#C C drops the chopsticks in the frying pan,Drop them into the pan.," #C C drops ingredients into the frying pan with her right hand."
3ba731dd-156e-419b-80de-c19d4f88aa7d_417_426,['3ba731dd-156e-419b-80de-c19d4f88aa7d_304_313'],#C C drops the chopsticks in the frying pan,#C C picks the bowl on the wash basin with her hands,Pick up the bowl instead.," #C C picks up the bowl."
3ba731dd-156e-419b-80de-c19d4f88aa7d_417_426,['3ba731dd-156e-419b-80de-c19d4f88aa7d_568_577'],#C C drops the chopsticks in the frying pan,#C C adjusts the knob of the cooker with his left hand,Adjust the knob instead.," #C C adjusts the knob in the kitchen."
002d2729-df71-438d-8396-5895b349e8fd_639_648,['002d2729-df71-438d-8396-5895b349e8fd_761_770'],#C C takes out a piece of ginger from the nylon with her right hand.,#C C removes diced ginger from the knife in her right hand with her left hand.,Remove it from the knife with the other hand.," #C C removes the dried meat from the knife with his left hand"
002d2729-df71-438d-8396-5895b349e8fd_792_801,['002d2729-df71-438d-8396-5895b349e8fd_876_885'],#C C breaks off a stalk of celery with her right hand.,#C C rinses the celery stalks in the colander with both hands.,Rinse them in the colander.," #C C rinses the greens in the colander."
002d2729-df71-438d-8396-5895b349e8fd_761_770,['002d2729-df71-438d-8396-5895b349e8fd_639_648'],#C C removes diced ginger from the knife in her right hand with her left hand.,#C C takes out a piece of ginger from the nylon with her right hand.,Remove it from the nylon instead.," #C C removes garlic from the nylon with his right hand."
002d2729-df71-438d-8396-5895b349e8fd_696_705,['002d2729-df71-438d-8396-5895b349e8fd_876_885'],#C C rinses the ginger at the sink with her left hand.,#C C rinses the celery stalks in the colander with both hands.,Rinse them instead.," #C C rinses the spoons."
002d2729-df71-438d-8396-5895b349e8fd_876_885,['002d2729-df71-438d-8396-5895b349e8fd_792_801'],#C C rinses the celery stalks in the colander with both hands.,#C C breaks off a stalk of celery with her right hand.,Break off a stalk instead.," #C C breaks off a stalk of greens."
002d2729-df71-438d-8396-5895b349e8fd_876_885,['002d2729-df71-438d-8396-5895b349e8fd_696_705'],#C C rinses the celery stalks in the colander with both hands.,#C C rinses the ginger at the sink with her left hand.,Rinse the other object with one hand.," #C C rinses the utensil with one hand."
e04cd16e-ac93-406c-9b60-ec7e956e9d32_262_271,['e04cd16e-ac93-406c-9b60-ec7e956e9d32_2884_2893'],#C C paints the cabinet with a paint brush.,#C C takes paint from the cup of paint with the brush in his hand.,Take paint from the cup.," #C C dips the brush into the paint cup."
e04cd16e-ac93-406c-9b60-ec7e956e9d32_2884_2893,['e04cd16e-ac93-406c-9b60-ec7e956e9d32_262_271'],#C C takes paint from the cup of paint with the brush in his hand.,#C C paints the cabinet with a paint brush.,Use it to paint the cabinet.," #C C paints the cabinet with the brush."
e04cd16e-ac93-406c-9b60-ec7e956e9d32_2884_2893,['e04cd16e-ac93-406c-9b60-ec7e956e9d32_2829_2838'],#C C takes paint from the cup of paint with the brush in his hand.,#C C moves around the drawer to its other side.,Move to the other side of the drawer.," #C C dips the paint brush in the paint on the other side of the drawer."
4066339d-b061-4550-a8fa-988fc4861714_641_649,['4066339d-b061-4550-a8fa-988fc4861714_611_620'],#C C Places the pencil on the table,#C C Rubs on the paper with pencil rubber,Erase with it.," #C C erases the sketch"
4066339d-b061-4550-a8fa-988fc4861714_611_620,['4066339d-b061-4550-a8fa-988fc4861714_641_649'],#C C Rubs on the paper with pencil rubber,#C C Places the pencil on the table,Place it down.," #C C places the pen down"
fd0e10cd-80ea-4cd1-babe-e6570601b00b_112_121,['fd0e10cd-80ea-4cd1-babe-e6570601b00b_66_75'],#C C drops the wrench on the floor,#C C picks the pack from the floor,Pick up the pack.," #C C picks up the pack with his right hand."
fd0e10cd-80ea-4cd1-babe-e6570601b00b_66_75,['fd0e10cd-80ea-4cd1-babe-e6570601b00b_112_121'],#C C picks the pack from the floor,#C C drops the wrench on the floor,Drop the wrench instead.," #C C drops the wrench aside"
fd0e10cd-80ea-4cd1-babe-e6570601b00b_149_158,['fd0e10cd-80ea-4cd1-babe-e6570601b00b_112_121'],#C C picks up the tools and the pack from the ground,#C C drops the wrench on the floor,Drop the wrench.," #C C drops the wrench on the floor"
fd06094f-8e2f-414c-9f66-3c99cd14a151_6562_6571,['fd06094f-8e2f-414c-9f66-3c99cd14a151_6622_6631'],#C C stops polishing the rail,#C C polishes a rail handle with a polishing machine,Start polishing the handle.," #C C polishes the handle with his right hand."
fd06094f-8e2f-414c-9f66-3c99cd14a151_3892_3901,['fd06094f-8e2f-414c-9f66-3c99cd14a151_3902_3911'],#C C taps phone's screen,#C C places his hand on the railing,Place hand on the railing instead.," #C C places hand on the railing"
fd06094f-8e2f-414c-9f66-3c99cd14a151_6622_6631,['fd06094f-8e2f-414c-9f66-3c99cd14a151_6562_6571'],#C C polishes a rail handle with a polishing machine,#C C stops polishing the rail,Stop the action.," #C C stops grinding the metal."
fd06094f-8e2f-414c-9f66-3c99cd14a151_3902_3911,['fd06094f-8e2f-414c-9f66-3c99cd14a151_3892_3901'],#C C places his hand on the railing,#C C taps phone's screen,Tap the screen instead.," #O person A taps the screen"
6cd49c63-5591-41f5-905f-5f2fe23c62e5_68_77,['6cd49c63-5591-41f5-905f-5f2fe23c62e5_201_210'],#C C drops the first bowl on the plate in the sink.,#C C fills the bowl in his hands with water.,Fill it with water.," #C C fills the bowl with water."
6cd49c63-5591-41f5-905f-5f2fe23c62e5_201_210,['6cd49c63-5591-41f5-905f-5f2fe23c62e5_68_77'],#C C fills the bowl in his hands with water.,#C C drops the first bowl on the plate in the sink.,Drop it onto the plate.," #C C drops water onto the plate."
6cd49c63-5591-41f5-905f-5f2fe23c62e5_201_210,['6cd49c63-5591-41f5-905f-5f2fe23c62e5_160_169'],#C C fills the bowl in his hands with water.,#C C turns off the tap.,Turn off the tap.," #C C turns off the tap."
6cd49c63-5591-41f5-905f-5f2fe23c62e5_259_268,['6cd49c63-5591-41f5-905f-5f2fe23c62e5_201_210'],#C C drops two cups on the sink slab.,#C C fills the bowl in his hands with water.,Fill the bowl with water.," #C C fills the bowl with water."
803d0524-47c8-45fe-a5d1-c6a71e2cd54b_298_307,['803d0524-47c8-45fe-a5d1-c6a71e2cd54b_552_561'],#C  C hangs the brush on the wall.,#C  C packs the dirty on the floor inside a packer with the broom.,Sweep it into the packer.," #C C sweeps the brush into the packer with her right hand"
803d0524-47c8-45fe-a5d1-c6a71e2cd54b_552_561,['803d0524-47c8-45fe-a5d1-c6a71e2cd54b_298_307'],#C  C packs the dirty on the floor inside a packer with the broom.,#C  C hangs the brush on the wall.,Hang the brush instead.," #C C hangs the brush on the hook."
803d0524-47c8-45fe-a5d1-c6a71e2cd54b_552_561,['803d0524-47c8-45fe-a5d1-c6a71e2cd54b_579_588'],#C  C packs the dirty on the floor inside a packer with the broom.,#C   C pours the dirty in the packer away.,Empty the packer.," #C C empties the dustpan on the floor."
803d0524-47c8-45fe-a5d1-c6a71e2cd54b_570_579,['803d0524-47c8-45fe-a5d1-c6a71e2cd54b_579_588'],#C  C touches the dirty in thr packer.,#C   C pours the dirty in the packer away.,Pour it away.," #C C pours the dirt from her hand."
2481f41b-fdff-4c32-b273-80c776c8eafd_292_301,['2481f41b-fdff-4c32-b273-80c776c8eafd_117_126'],#C C takes his hand out from the doll,#C C picks up a piece of cotton wool from the table,Pick up the cotton wool instead.," #C C picks up the cotton wool."
2481f41b-fdff-4c32-b273-80c776c8eafd_292_301,['2481f41b-fdff-4c32-b273-80c776c8eafd_211_220'],#C C takes his hand out from the doll,#C C pushes the shreds of wool to the head of the doll,Stuff the head instead.," #C C stuffs the doll's head"
2481f41b-fdff-4c32-b273-80c776c8eafd_117_126,['2481f41b-fdff-4c32-b273-80c776c8eafd_292_301'],#C C picks up a piece of cotton wool from the table,#C C takes his hand out from the doll,Remove hand from it.," #C C removes hand from the wool."
2481f41b-fdff-4c32-b273-80c776c8eafd_117_126,['2481f41b-fdff-4c32-b273-80c776c8eafd_0_5'],#C C picks up a piece of cotton wool from the table,#C C picks up a scissors from the table,Pick up the scissors instead.," #C C picks up the scissors."
2481f41b-fdff-4c32-b273-80c776c8eafd_211_220,['2481f41b-fdff-4c32-b273-80c776c8eafd_292_301'],#C C pushes the shreds of wool to the head of the doll,#C C takes his hand out from the doll,Remove the hand.," #C C places the doll down."
e828f68b-31f7-4caa-9f69-89842e26e914_280_289,['e828f68b-31f7-4caa-9f69-89842e26e914_102_111'],#C C removes his hand under the bonnet.,#C C holds the bolt driver with both hands.,Hold the tool with both hands.," #C C holds the tool with both hands while looking at the car."
e828f68b-31f7-4caa-9f69-89842e26e914_102_111,['e828f68b-31f7-4caa-9f69-89842e26e914_280_289'],#C C holds the bolt driver with both hands.,#C C removes his hand under the bonnet.,Remove hand from under.," #C C removes his hand from under the spanner."
e828f68b-31f7-4caa-9f69-89842e26e914_102_111,['e828f68b-31f7-4caa-9f69-89842e26e914_155_164'],#C C holds the bolt driver with both hands.,#C C removes the driver from the part.,Use one hand to remove it.," #C C removes the bolt with one hand."
e828f68b-31f7-4caa-9f69-89842e26e914_155_164,['e828f68b-31f7-4caa-9f69-89842e26e914_102_111'],#C C removes the driver from the part.,#C C holds the bolt driver with both hands.,Hold the tool with both hands.," #C C holds the tool with both hands."
6a513338-0c76-418f-b842-e89547decacf_507_516,['6a513338-0c76-418f-b842-e89547decacf_334_343'],#C C dips the paintbrush in the paint,#C C paints the wooden rail with the paintbrush,Paint the rail.," #C C paints the rail with the brush."
